sku,categories,short_description,description,price,special_price,is_in_stock,additional_attributes,created_at,updated_at
Forward time travel,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31500"",jd_trends_artist=""2"",prirority=""6""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
Human Evolution,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31500"",jd_trends_artist=""2"",prirority=""7""","9/23/18, 1:31 AM","5/2/22, 3:34 PM"
Love is Difficult,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""16800"",jd_trends_artist=""2"",prirority=""7""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
Love through nature way,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""17500"",jd_trends_artist=""2"",prirority=""8""","9/23/18, 1:31 AM","5/2/22, 3:54 PM"
Natures way 1,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""16800"",jd_trends_artist=""2"",prirority=""5""","9/23/18, 1:31 AM","2/9/24, 2:46 PM"
Natures way 2,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""16800"",jd_trends_artist=""2"",prirority=""4""","9/23/18, 1:31 AM","4/30/22, 1:18 PM"
Natures way 3,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art is great because it doesn’t allow your home office to become boring</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31500"",jd_trends_artist=""2"",prirority=""6""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
Natures way 4,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Modern art Paintings in unique style will make positive atmosphere to your living space</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31500"",jd_trends_artist=""2"",prirority=""7""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
Natures way spread of love,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Modern art Paintings in unique style will make positive atmosphere to your living space</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""14000"",jd_trends_artist=""2"",prirority=""4""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
Something but nothing,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Style,Default Category/Paintings/Medium",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""17500"",jd_trends_artist=""2"",prirority=""5""","9/23/18, 1:31 AM","4/30/22, 1:42 PM"
The revolution 1,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15400"",jd_trends_artist=""2"",prirority=""5""","9/23/18, 1:31 AM","4/30/22, 1:42 PM"
The revolution 2,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15400"",jd_trends_artist=""2"",prirority=""6""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
The revolution 3,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Style,Default Category/Paintings/Medium",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15400"",jd_trends_artist=""2"",prirority=""7""","9/23/18, 1:31 AM","8/29/22, 5:47 PM"
The revolution 4,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Style,Default Category/Paintings/Medium",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""15400"",jd_trends_artist=""2"",prirority=""7""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
The Revolution of colours 1,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""14000"",jd_trends_artist=""2"",prirority=""8""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
The Revolution of colours 2,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""14000"",jd_trends_artist=""2"",prirority=""9""","9/23/18, 1:31 AM","8/31/22, 1:32 PM"
The Revolution of colours 3,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""14000"",jd_trends_artist=""2"",prirority=""7""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
The Revolution of colours 4,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Office,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Gorgeous contemporary painting adds colours to the Modern bedroom</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""14000"",jd_trends_artist=""2"",prirority=""8""","9/23/18, 1:31 AM","12/16/21, 3:58 PM"
Thinking of Love,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""19600"",jd_trends_artist=""2"",prirority=""8""","9/23/18, 1:31 AM","11/6/21, 10:31 PM"
Unlimited skies we and big land,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31500"",jd_trends_artist=""2"",prirority=""9""","9/23/18, 1:31 AM","8/31/22, 1:33 PM"
Splashed,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""45000"",jd_trends_artist=""2"",prirority=""2""","10/11/18, 8:23 PM","11/6/21, 10:31 PM"
Instincts,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""45000"",jd_trends_artist=""2"",prirority=""3""","10/11/18, 8:25 PM","8/29/22, 6:01 PM"
Blue Mystery,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""Abstract art can be a very refreshing and dynamic addition to a space like the kitchen""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""20000"",jd_trends_artist=""2"",prirority=""4""","10/11/18, 8:28 PM","8/31/22, 1:06 PM"
Reflect,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""Abstract art can be a very refreshing and dynamic addition to a space like the kitchen""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""60000"",jd_trends_artist=""2"",prirority=""7""","10/11/18, 8:30 PM","11/6/21, 10:31 PM"
Parallel Worlds,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""Abstract art can be a very refreshing and dynamic addition to a space like the kitchen""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Abstract art can be a very refreshing and dynamic addition to a space like the kitchen</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""60000"",jd_trends_artist=""2"",prirority=""8""","10/11/18, 8:32 PM","12/16/21, 4:27 PM"
A sense of Why,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View",<p> abstract art  brings a fresh perspective into this traditional living room</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31250"",jd_trends_artist=""2"",prirority=""3""","10/11/18, 8:33 PM","2/7/24, 5:48 PM"
The essence of Absence,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""The minimalist, abstract artwork brings a fresh perspective into this traditional living room""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">The minimalist, abstract artwork brings a fresh perspective into this traditional living room</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""31250"",jd_trends_artist=""2"",prirority=""4""","10/11/18, 8:35 PM","8/31/22, 1:07 PM"
Cross Over,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""Bring a colorful burst of abstract art to your walls with modern painting and every time you'll fall in love with it over and over again""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Bring a colorful burst of abstract art to your walls with modern painting and every time you'll fall in love with it over and over again</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""79000"",jd_trends_artist=""2"",prirority=""8""","10/11/18, 8:37 PM","8/29/22, 5:26 PM"
Desire,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View","<p><span data-sheets-value=""{""1"":2,""2"":""Bring a colorful burst of abstract art to your walls with modern painting and every time you'll fall in love with it over and over again""}"" data-sheets-userformat=""{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":0,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}"">Bring a colorful burst of abstract art to your walls with modern painting and every time you'll fall in love with it over and over again</span></p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""79000"",jd_trends_artist=""2"",prirority=""9""","10/11/18, 8:38 PM","11/6/21, 10:31 PM"
